feature_name,source,role,selected,present_in_sample
ADV20_Proxy,dataset,candidate_feature,0,1
ADX,dataset,candidate_feature,0,1
ATR14,dataset,candidate_feature,0,1
ATR_Pct,dataset,candidate_feature,0,1
ATR_Pct_Pctl,dataset,candidate_feature,0,1
ATR_Pctl_252,dataset,candidate_feature,0,1
Absorption,dataset,candidate_feature,0,1
Adverse_Move_Pct,dataset,meta,0,1
BB_Width,dataset,candidate_feature,0,1
Body_Pct,dataset,candidate_feature,0,1
Chip_Total_Ratio_Rank,dataset,candidate_feature,0,1
Date,dataset,meta,0,1
Direction,dataset,meta,0,1
Dist_MA20_Pct,dataset,candidate_feature,0,1
DollarVol20_Proxy,dataset,candidate_feature,0,1
Entry_Date,dataset,meta,0,1
Entry_Price,dataset,meta,0,1
Entry_Price_Basis,dataset,meta,0,1
Exit_Date,dataset,meta,0,1
Exit_Price,dataset,meta,0,1
Favorable_Move_Pct,dataset,meta,0,1
Foreign_Continuous,dataset,candidate_feature,0,1
Foreign_Ratio,dataset,candidate_feature,0,1
Future_Return_Pct,dataset,meta,0,1
Gap_Pct,dataset,candidate_feature,0,1
Hold_Days,dataset,meta,0,1
Intraday_Return,dataset,candidate_feature,0,1
Label,dataset,meta,0,1
Label_Exit_Type,dataset,meta,0,1
Label_Reason,dataset,meta,0,1
Label_Y,dataset,meta,0,1
Lower_Shadow_Pct,dataset,candidate_feature,0,1
MACD_Hist,selected_features,candidate_feature,1,1
MR_Long_Accumulation,dataset,candidate_feature,0,1
MR_Long_Spring,dataset,candidate_feature,0,1
MR_Short_Distribution,dataset,candidate_feature,0,1
MR_Short_Trap,dataset,candidate_feature,0,1
Max_Adverse_Excursion,dataset,meta,0,1
Max_Favorable_Excursion,dataset,meta,0,1
Overnight_Return,dataset,candidate_feature,0,1
RSI,dataset,candidate_feature,0,1
RealizedVol_20,dataset,candidate_feature,0,1
RealizedVol_60,dataset,candidate_feature,0,1
Realized_Return_After_Cost,dataset,meta,0,1
Regime,dataset,meta,0,1
Regime_TrendStrength_X_ScoreGap,selected_features,candidate_feature,1,1
Return_Z20,dataset,candidate_feature,0,1
Revenue_YoY_Rank,dataset,candidate_feature,0,1
Score_Gap,selected_features,candidate_feature,1,1
Setup,dataset,meta,0,1
Setup_Tag,dataset,meta,0,1
Signal_Conflict,dataset,candidate_feature,0,1
Stop_Hit,dataset,meta,0,1
Target_Return,dataset,meta,0,1
Ticker,dataset,meta,0,1
Ticker SYMBOL,dataset,meta,0,1
Total_Ratio,dataset,candidate_feature,0,1
Touched_SL,dataset,meta,0,1
Touched_TP,dataset,meta,0,1
Trust_Continuous,dataset,candidate_feature,0,1
Trust_Ratio,dataset,candidate_feature,0,1
Turnover_Proxy,dataset,candidate_feature,0,1
Upper_Shadow_Pct,dataset,candidate_feature,0,1
Vol_Squeeze,dataset,candidate_feature,0,1
Volatility_X_SignalConflict,dataset,candidate_feature,0,1
Volume_Ratio,dataset,candidate_feature,0,1
Volume_Z20,selected_features,candidate_feature,1,1
Weighted_Buy_Score,dataset,candidate_feature,0,1
Weighted_Sell_Score,dataset,candidate_feature,0,1
buy_c2,dataset,candidate_feature,0,1
buy_c3,dataset,candidate_feature,0,1
buy_c4,dataset,candidate_feature,0,1
buy_c5,dataset,candidate_feature,0,1
buy_c6,dataset,candidate_feature,0,1
buy_c7,dataset,candidate_feature,0,1
buy_c8,dataset,candidate_feature,0,1
buy_c9,dataset,candidate_feature,0,1
sell_c2,dataset,candidate_feature,0,1
sell_c3,dataset,candidate_feature,0,1
sell_c4,dataset,candidate_feature,0,1
sell_c5,dataset,candidate_feature,0,1
sell_c6,dataset,candidate_feature,0,1
sell_c7,dataset,candidate_feature,0,1
sell_c8,dataset,candidate_feature,0,1
sell_c9,dataset,candidate_feature,0,1
